X12 Case #01,X12#01|X12#02
Esprite Case #05,ESPRITE#09|ESPRITE#10
Esprite Case #06,ESPRITE#11|ESPRITE#12
Esprite Case #07,ESPRITE#13|ESPRITE#14
Esprite Case #08,ESPRITE#15|ESPRITE#16
Esprite Case #09,ESPRITE#17|ESPRITE#18
Esprite Case #10,ESPRITE#19|ESPRITE#20
Esprite Case #11,ESPRITE#21|ESPRITE#22
Esprite Case #12,ESPRITE#23|ESPRITE#24
5XT Case #06,5XT#31|5XT#32|5XT#33|5XT#34|5XT#35|5XT#36|ETR5#31|ETR5#32|ETR5#33|ETR5#34|ETR5#35|ETR5#36
5XT Case #07,5XT#37|5XT#38|5XT#39|5XT#40|5XT#41|5XT#42|ETR5#37|ETR5#38|ETR5#39|ETR5#40|ETR5#41|ETR5#42
5XT Case #08,5XT#43|5XT#44|5XT#45|5XT#46|5XT#47|5XT#48|ETR5#43|ETR5#44|ETR5#45|ETR5#46|ETR5#47|ETR5#48
5XT Case #09,5XT#49|5XT#50|5XT#51|5XT#52|5XT#53|5XT#54|ETR5#49|ETR5#50|ETR5#51|ETR5#52|ETR5#53|ETR5#54
5XT Case #10,5XT#55|5XT#56|5XT#57|5XT#58|5XT#59|5XT#60|ETR5#55|ETR5#56|ETR5#57|ETR5#58|ETR5#59|ETR5#60
5XT Case #11,5XT#61|5XT#62|5XT#63|5XT#64|ETR5#61|ETR5#62|ETR5#63|ETR5#64
5XT Case #12,5XT#65|5XT#66|5XT#67|5XT#68|ETR5#65|ETR5#66|ETR5#67|ETR5#68
TT Case #01,TT#01|TT#02|TT#03|TT#04|TT#05|TT#06|TT#07|TT#08
TT Case #02,TT#09|TT#10|TT#11|TT#12|TT#13|TT#14|TT#15|TT#16
