AssetID,Brand,ModelNumber,SerialNumber,Description,DateOfPurchase,DateAdded,DateModified,ChangeHistory,Notes,IsMissing,IsOOC,IsDegraded,IsDisposed,IsBulk,Quantity,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
4099#01,DPA,4099,E46719,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""Inventory check, cable is exposed"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}},{""id"":""6374b89c8b8e56401f44bf5c"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-5b853940-034c-47c1-9325-1bfa32f1e091"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:53:14""}}]",AX,Store,
4099#02,DPA,4099,E46935,Instrument Microphone,,,,,,False,True,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""Inventory check, no sponge, cable exposed"",""type"":""Fault"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""marked""}],""source"":{}},{""id"":""97aed339eec3ec681d6c590d"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-21d446a0-e16d-4375-b041-a9fd5f7ede52"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:52:30""}}]",AX,Store,
4099#03,DPA,4099,E47127,Instrument Microphone,,,,,,False,True,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""Inventory check, cable is oxidised and disintegrating"",""type"":""Fault"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""marked""}],""source"":{}},{""id"":""eac2892f586e08f6eb3c12c5"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-8ca153e0-4379-408e-8918-4f967d761471"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:52:35""}}]",AX,Store,
4099#04,DPA,4099,E48465,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""id"":""9900c682aabdc09b1ed2bedf"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-07558c2a-ccde-442b-a0d7-491be1eb68ce"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:45:20""}}]",AX,Store,Store
4099#05,DPA,4099,E48467,Instrument Microphone,,,,,,False,False,False,False,False,1,,AX,Store,Dry Hire: Avery Events
4099#06,DPA,4099,E51806,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""Inventory check, no sponge, cable ok"",""type"":""Fault"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""marked""}],""source"":{}},{""date"":""2025/09/10"",""user"":""bnjm2000"",""description"":""replaced sponge"",""type"":""Repair"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""cleared""}],""source"":{}},{""id"":""100db55830a1fa44af57568e"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-3c165c2a-d1cd-4591-bb3c-7ac84e9affad"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:44:14""}}]",AX,Store,Dry Hire: Avery Events
4099#07,DPA,4099,E51807,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""Inventory check, cable is exposed"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}},{""id"":""fe01630fbe30e0e71eee16e8"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-53477887-0485-4abc-beff-597cbb52eb54"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:48:59""}}]",AX,Store,
4099#08,DPA,4099,E51808,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""Inventory check, no sponge, cable exposed"",""type"":""Fault"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""marked""}],""source"":{}},{""date"":""2025/09/11"",""user"":""bnjm2000"",""description"":""Replaced sponge"",""type"":""Repair"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""cleared""}],""source"":{}},{""id"":""3e922d101261c153d9925c07"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-3e52c5eb-e0ba-46c9-a587-749c3c60f286"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T16:01:51""}}]",AX,Store,
4099#09,DPA,4099,E51856,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""Inventory check, cable exposed, no sponge"",""type"":""Fault"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""marked""}],""source"":{}},{""date"":""2025/09/11"",""user"":""bnjm2000"",""description"":""Replaced sponge"",""type"":""Repair"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""cleared""}],""source"":{}},{""id"":""1c42634873e8fa4a79f95c5f"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-08f1f979-f382-4295-a0ae-73d1269c1a84"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:47:00""}}]",AX,Store,
4099#10,DPA,4099,EC3606,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""inventory check, cable a little exposed"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}},{""id"":""c13d8126165d14e80d3c182c"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-02a99bad-4dde-46b1-8f6e-69376d68c2b1"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:47:39""}}]",AX,Store,Store
4099#11,DPA,4099,EC3615,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""inventory check, cable a little exposed"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}},{""id"":""d0b1b9d6d5b616419f04d57f"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-c27f42c8-1276-4f1a-897b-a8a2e4b08cd8"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:45:52""}}]",AX,Store,Store
4099#12,DPA,4099,EC5708,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""Inventory check, cable is exposed, sponge is going"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}},{""date"":""2025/09/10"",""user"":""bnjm2000"",""description"":""Sponge replaced"",""type"":""Repair"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""cleared""}],""source"":{}},{""id"":""e198c0fed778be98bec2226e"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-fbc41bfb-23ea-4b44-b992-215bc4bb3bfe"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:48:36""}}]",AX,Store,
4099#13,DPA,4099,EC5709,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""Inventory check, sponge spoilt, cable exposed"",""type"":""Fault"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""marked""}],""source"":{}},{""date"":""2025/09/10"",""user"":""bnjm2000"",""description"":""Sponge replaced"",""type"":""Repair"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""cleared""}],""source"":{}},{""id"":""00ccdde388de89e659fefe3b"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-866fd63e-2129-4941-b935-5f229b8806b2"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:50:15""}}]",AX,Store,Store
4099#14,DPA,4099,EC5730,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2026/03/11"",""user"":""bnjm2000"",""description"":""Cable exposed, sponge disintegrating soon (Interwoven《绚》 @ SCCC)"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}},{""id"":""6379356f5ae5d7ca6c7a5ba3"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-c4811ab1-3a80-4658-a067-fff3b14b7949"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T16:02:10""}}]",AX,Store,Store
4099#15,DPA,4099,ED0511,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""date"":""2025/07/14"",""user"":""bnjm2000"",""description"":""Inventory check, cable a little exposed"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}},{""id"":""39c9247f9d736eb53b2777bf"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-50376823-974b-4513-a065-c84b0f66a421"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:53:20""}}]",AX,Store,Store
4099#16,DPA,4099,EG3923,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""id"":""2f510bf8a16c67979eedfd68"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-839686c5-e27c-4fec-b916-88899efee1d5"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:45:39""}}]",AX,Store,Dry Hire: Avery Events
4099#17,DPA,4099,EG3977,Instrument Microphone,,,,,,False,False,False,False,False,1,"[{""id"":""3f06a294d095d0c41f1dad1a"",""date"":""2026/06/25"",""user"":""rrafie"",""description"":""Asset sighted by rrafie during Asset Check"",""type"":""Asset check"",""cost"":"""",""changes"":[],""source"":{""kind"":""asset_check_sighting"",""checkId"":""asset-check-beb5cad2-b9b7-41fb-9bcf-180240e0df97"",""groupKey"":""AX|DPA|4099|"",""createdAt"":""2026-06-25T15:44:53""}}]",AX,Store,Store
4288#01,DPA,4288,,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,
4288#02,DPA,4288,,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,
4466#01,DPA,4466 (beige),C073762,Omnidirectional Headset,,,,,,False,False,False,False,False,1,"[{""date"":""2026/03/14"",""user"":""bnjm2000"",""description"":""Noted sound muffled (Interwoven《绚》@ SCCC) by Engineer Wei Zheng"",""type"":""General"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,Store
4466#02,DPA,4466 (beige),C074934,Omnidirectional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4466#03,DPA,4466 (beige),C075186,Omnidirectional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4466#04,DPA,4466 (beige),C056033,Omnidirectional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4466#05,DPA,4466 (beige),C074966,Omnidirectional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4466#06,DPA,4466 (beige),C075149,Omnidirectional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4488#01,DPA,4488 (beige),M069287,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,
4488#02,DPA,4488 (beige),M068571,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,
4488#03,DPA,4488 (beige),M069881,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4488#04,DPA,4488 (beige),M069448,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4488#05,DPA,4488 (beige),M071554,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4488#06,DPA,4488 (beige),M068245,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4488#07,DPA,4488 (beige),M069285,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4488#08,DPA,4488 (beige),M068376,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4488#09,DPA,4488 (beige),M070024,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,
4488#10,DPA,4488 (beige),M069545,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,
4488#11,DPA,4488 (beige),M069673,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
4488#12,DPA,4488 (beige),M070071,Directional Headset,,,,,,False,False,False,False,False,1,,AX,Store,Store
6061#01,DPA,6061 (beige),R311927,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,
6061#02,DPA,6061 (beige),R311977,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,
6061#03,DPA,6061 (beige),R311988,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,Store
6061#04,DPA,6061 (beige),R316442,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,Store
6061#05,DPA,6061 (beige),R316445,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,
6061#06,DPA,6061 (beige),R316447,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,
6061#07,DPA,6061 (beige),R317526,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,
6061#08,DPA,6061 (beige),R317528,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,
6061#09,DPA,6061 (beige),R317530,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,
6061#10,DPA,6061 (beige),R317531,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,
6061#11,DPA,6061 (beige),R317534,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,
6061#12,DPA,6061 (beige),R317535,Omni Submini Lavalier Microphone,,,,,,False,False,False,False,False,1,,AX,Store,
6061#13,DPA,6061 (black),R283616,Omni Submini Lavalier Microphone,2025-11-17,,,,,False,False,False,False,False,1,,AX,Store,Store
6061#14,DPA,6061 (black),R283623,Omni Submini Lavalier Microphone,2025-11-17,,,,,False,False,False,False,False,1,,AX,Store,Store
6061#15,DPA,6061 (black),R283625,Omni Submini Lavalier Microphone,2025-11-17,,,,,False,False,False,False,False,1,,AX,Store,Store
6061#16,DPA,6061 (black),R283632,Omni Submini Lavalier Microphone,2025-11-17,,,,,False,False,False,False,False,1,,AX,Store,Store
4061#01,DPA,4061,R238770,Omni Submini Lavalier Microphone,,,,,,False,False,True,False,False,1,"[{""date"":""2024/11/19"",""user"":""bnjm2000"",""description"":""Sleeving disintegrated/tore after removing from instrument (SLMA @ Jia He Grand Restaurant)"",""type"":""Fault"",""cost"":"""",""changes"":[{""kind"":""degraded"",""action"":""marked""}],""source"":{}}]",AX,Store,
4061#02,DPA,4061,R238785,Omni Submini Lavalier Microphone,,,,,,False,False,True,False,False,1,"[{""date"":""2025/08/15"",""user"":""bnjm2000"",""description"":""Sleeving disintegrated/tore after removing from instrument (Tampest & Tranquility @ Blackbox)"",""type"":""Fault"",""cost"":"""",""changes"":[{""kind"":""degraded"",""action"":""marked""}],""source"":{}}]",AX,Store,
DAD6001#01,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6001#02,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6001#03,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6001#04,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6001#05,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6001#06,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6001#07,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD4099#01,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,,,,,,False,False,False,False,False,1,,AX,Store,Dry Hire: Avery Events
DAD4099#02,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,,,,,,False,False,False,False,False,1,,AX,Store,Dry Hire: Avery Events
DAD4099#03,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,,,,,,False,False,False,False,False,1,,AX,Store,
DAD4099#04,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,,,,,,False,False,False,False,False,1,,AX,Store,
DAD4099#05,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,,,,,,False,False,False,False,False,1,,AX,Store,
DAD4099#06,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#01,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#02,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#03,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#04,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#05,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#06,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#07,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,True,False,False,False,1,"[{""date"":""2024/11/14"",""user"":""bnjm2000"",""description"":""Connection loose, audio dropout (SLMA @ Jia He Grand Restaurant)"",""type"":""Fault"",""cost"":"""",""changes"":[{""kind"":""ooc"",""action"":""marked""}],""source"":{}}]",AX,Store,
DAD6010#08,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#09,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#10,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#11,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#12,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#13,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#14,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#15,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#16,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#17,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#18,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#19,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#20,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#21,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#22,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#23,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#24,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#25,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Dry Hire: Avery Events
DAD6010#26,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#27,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#28,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#29,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#30,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#31,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#32,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Dry Hire: Avery Events
DAD6010#33,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#34,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#35,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Dry Hire: Avery Events
DAD6010#36,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#37,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#38,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#39,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#40,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,
DAD6010#41,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#42,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#43,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#44,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD6010#45,DPA,DAD 6010,,MicroDot to TA4F Adapter,,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD9003#01,DPA,DAD 9003,,MicroLock to 3-pin LEMO,2025-10-27,,,,,False,False,False,False,False,1,,AX,Store,Store
DAD9003#02,DPA,DAD 9003,,MicroLock to 3-pin LEMO,2025-10-27,,,,,False,False,False,False,False,1,,AX,Store,Store
